QUERY_ID,QUERY_TEXT,BEST_MATCH_SCORE,MATCHED_VERIFIED_QUERY,MATCH_STATUS
1,一番取引が多いユーザは誰で、どのような取引をしていますか？,1.000000,一番取引が多いユーザは誰で、どのような取引をしていますか？,EXACT_MATCH
2,クレジットカードの延滞がある人とない人の特徴を分析したい,1.000000,クレジットカードの延滞がある人とない人の特徴を分析したい,EXACT_MATCH
3,過去1年間で最も売上が高かった商品カテゴリは何ですか？,0.185185,売上が少ない地域の特徴は？,NO_MATCH
4,各月ごとの新規顧客数の推移を教えてください,0.428571,学歴別の平均取引額を教えてください,SIMILAR
5,特定の地域での売上トップ5の商品カテゴリは何ですか？,0.153846,売上が少ない地域の特徴は？,NO_MATCH
6,顧客の年齢層別に平均購入金額を比較したい,0.200000,延滞ユーザーの年齢分布を把握したい,NO_MATCH
7,最も頻繁に購入される商品カテゴリの組み合わせは何ですか？,0.178571,Food & Drinkカテゴリの売上推移の分析結果は,NO_MATCH
8,過去6ヶ月間で売上が急増した商品カテゴリはありますか？,0.185185,売上が少ない地域の特徴は？,NO_MATCH
9,リピーター率が最も高い顧客層の特徴を教えてください,0.320000,学歴別の平均取引額を教えてください,SIMILAR
10,過去1年間で最も売上が低かった商品カテゴリは何ですか？,0.185185,売上が少ない地域の特徴は？,NO_MATCH
11,地域ごとの顧客満足度のトレンドを教えてください,0.391304,学歴別の平均取引額を教えてください,SIMILAR
12,新規顧客と既存顧客の購買行動の違いを分析したい,0.250000,クレジットカードの延滞がある人とない人の特徴を分析したい,SIMILAR
13,性別別に取引の多い商品カテゴリは何ですか？,0.185185,マルチデバイスユーザーの延滞率は他と比べて低いですか？,NO_MATCH
14,売上が最も増加した地域はどこですか？,0.333333,売上が少ない地域の特徴は？,SIMILAR
15,クレジットカード以外の支払い方法で最も取引されている商品は何ですか？,0.264706,クレジットカードの延滞がある人とない人の特徴を分析したい,SIMILAR
16,特定の年齢層がよく購入する商品カテゴリは何ですか？,0.153846,Food & Drink購入者が次に買うカテゴリは？,NO_MATCH
17,延滞のない顧客の特徴を教えてください,0.444444,学歴別の平均取引額を教えてください,SIMILAR
18,各月の売上推移を知りたい,0.235294,延滞ユーザーの年齢分布を把握したい,SIMILAR
19,直近のプロモーションで成功した商品は何ですか？,0.185185,マルチデバイスユーザーの延滞率は他と比べて低いですか？,NO_MATCH
20,過去1年間の最も忠実な顧客は誰ですか？,0.185185,マルチデバイスユーザーの延滞率は他と比べて低いですか？,NO_MATCH
21,最も多く購入されている商品の収益率はどれくらいですか？,0.222222,マルチデバイスユーザーの延滞率は他と比べて低いですか？,SIMILAR
22,複数の支払い方法を使う顧客の購買傾向はどうですか？,0.172414,一番取引が多いユーザは誰で、どのような取引をしていますか？,NO_MATCH
23,オンラインとオフラインでの売上比率は？,0.157895,売上が少ない地域の特徴は？,NO_MATCH
24,各カテゴリーの返品率を教えて下さい,0.294118,学歴別の平均取引額を教えてください,SIMILAR
25,最もクレームが多い商品は何ですか？,0.222222,マルチデバイスユーザーの延滞率は他と比べて低いですか？,SIMILAR
26,顧客ごとの平均購入間隔はどのくらいですか？,0.222222,マルチデバイスユーザーの延滞率は他と比べて低いですか？,SIMILAR
27,直近の3ヶ月間で売上がピークに達したのはいつですか？,0.192308,売上が少ない地域の特徴は？,NO_MATCH
28,クレジットカード利用者の中で最も取引が多いのはどの地域ですか？,0.322581,クレジットカードの延滞がある人とない人の特徴を分析したい,SIMILAR
29,忠誠顧客プログラムが最も効果的だった年齢層は？,0.130435,売上が少ない地域の特徴は？,NO_MATCH
30,オンライン購買において、最も利用される支払い方法は何ですか？,0.133333,マルチデバイスユーザーの延滞率は他と比べて低いですか？,NO_MATCH
31,売上高を最大にする商品組み合わせは何ですか？,0.181818,売上が少ない地域の特徴は？,NO_MATCH
32,特定商品が売れ始める季節傾向は？,0.187500,売上が少ない地域の特徴は？,NO_MATCH
33,全商品のうち、売上が最も低い商品の改善策は？,0.318182,売上が少ない地域の特徴は？,SIMILAR
34,プロモーションなしで自発的に売れている商品は何ですか？,0.148148,マルチデバイスユーザーの延滞率は他と比べて低いですか？,NO_MATCH
35,新規顧客が最初に購入する傾向がある商品は何ですか？,0.148148,マルチデバイスユーザーの延滞率は他と比べて低いですか？,NO_MATCH
36,高齢者に人気のある商品カテゴリは？,0.230769,Food & Drink購入者が次に買うカテゴリは？,SIMILAR
37,どの月が最も売上が高いですか？,0.222222,マルチデバイスユーザーの延滞率は他と比べて低いですか？,SIMILAR
38,定期的に購入される商品は何ですか？,0.185185,マルチデバイスユーザーの延滞率は他と比べて低いですか？,NO_MATCH
39,地域ごとの売上・返品トレンドを知りたい,0.142857,クレジットカードの延滞がある人とない人の特徴を分析したい,NO_MATCH
40,最も貢献度の高い支店はどこですか？,0.185185,マルチデバイスユーザーの延滞率は他と比べて低いですか？,NO_MATCH
41,近年の市場需要に対する商品供給のバランスを教えてください,0.285714,学歴別の平均取引額を教えてください,SIMILAR
42,リピーターになりやすい顧客属性は何ですか？,0.222222,マルチデバイスユーザーの延滞率は他と比べて低いですか？,SIMILAR
43,商品のリピート率を増加させるための要因は？,0.142857,売上が少ない地域の特徴は？,NO_MATCH
44,どのデバイスから最も多くの取引が行われていますか？,0.333333,マルチデバイスユーザーの延滞率は他と比べて低いですか？,SIMILAR
45,クリスマスシーズンの売上トレンドは？,0.166667,売上が少ない地域の特徴は？,NO_MATCH
46,キャンペーン終了後も売れ続ける商品は何ですか？,0.185185,マルチデバイスユーザーの延滞率は他と比べて低いですか？,NO_MATCH
47,決済方法別の売上ランキングは？,0.142857,世帯年収と個人年収の違いを考慮した分析は？,NO_MATCH
48,男性と女性の購買行動の違いはありますか？,0.185185,マルチデバイスユーザーの延滞率は他と比べて低いですか？,NO_MATCH
49,低価格商品が多く購入されるのはどの地域？,0.150000,売上が少ない地域の特徴は？,NO_MATCH
50,売上と顧客満足度の関係性は？,0.357143,売上が少ない地域の特徴は？,SIMILAR
51,タイムセールが与える影響の分析をしてください,0.227273,学歴別の平均取引額を教えてください,SIMILAR
52,直近のセールで特に売れたのはどのカテゴリー？,0.192308,Food & Drink購入者が次に買うカテゴリは？,NO_MATCH
53,最も競争が激しいカテゴリーは？,0.266667,売上が少ない地域の特徴は？,SIMILAR
